Name,Team,Recruitment,Position,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,1st Move,2nd Move,3rd Move,4th Move
Connor Bation,Recruitable,Connection Map,FW,Wood,140,124,55,59,45,41,44,56,61,Grenade Shot,Freeze Shot,Fire Tornado,Back Tornado
Kevin Boardman,Recruitable,Connection Map,GK,Wind,145,130,41,60,75,42,56,61,62,Pressure Punch,Spinning Cut,Whirlwind Twister,Gigant Wall
Simon Stryker,Recruitable,Connection Map,GK,Wood,151,160,45,60,61,46,56,59,60,Pressure Punch,Horn Train,Harvest,Gigant Wall
Rory Circles,Recruitable,Connection Map,MF,Earth,116,132,45,37,36,55,62,63,63,Bewildered,Poison Fog,Dash Storm,Sumo Stomp
Nick Turine,Recruitable,Connection Map,DF,Wood,127,141,70,62,59,63,44,64,53,Sumo Stomp,The Wall,Earthquake,Mega Quake
Jacob Grimley,Recruitable,Connection Map,FW,Wind,138,194,69,58,44,51,44,62,62,Spinning Shot,Grenade Shot,Hawk Shot,Back Tornado
Tim Crochett,Recruitable,Connection Map,DF,Wind,125,186,52,62,57,70,62,62,53,Fake Ball,About Face,Bamboo Pattern,Clone Shot
Will Bayeux,Recruitable,Connection Map,GK,Earth,151,136,61,57,55,62,58,55,52,Killer Blade,Blade Attack,Cyclone,Mistral
Norm Drilling,Recruitable,Connection Map,FW,Fire,158,134,57,53,54,58,60,57,54,Rodeo Clown,Spinning Cut,Dirt Ball,Shine Drive
Al Chemmy,Recruitable,Connection Map,DF,Fire,138,168,69,68,60,65,64,62,60,Killer Slide,Ghost Pull,Black Magic,Psycho Shot
Braden Bakewell,Recruitable,Connection Map,FW,Earth,90,125,76,33,39,48,70,40,44,Grenade Shot,Meteor Attack,Patriot Shot,Twin Boost
Dexter Raleigh,Recruitable,Connection Map,DF,Earth,118,146,46,34,35,59,69,55,60,Horn Train,Bewildered,Mole Fake,Dirt Ball
Gary Osoto,Recruitable,Connection Map,DF,Wind,103,142,48,60,57,56,71,61,53,Killer Slide,Bewildered,The Wall,Mole Fake
Spike Clutcher,Recruitable,Connection Map,FW,Wind,116,137,53,53,53,54,60,55,56,Dash Accelerator,Cross Drive,Illusion Ball,Utter Gutsiness Bat
Carter Nightly,Recruitable,Connection Map,DF,Wood,176,166,68,65,63,61,68,60,63,Whirlwind Twister,Quick Draw,Cyclone,Whirlwind Cut
Scot Enguard,Recruitable,Connection Map,DF,Earth,195,152,65,60,64,60,60,62,65,Blade Attack,Utter Gutsiness Bat,Bewildered,Rodeo Clown
Max Hurt,Recruitable,Connection Map,GK,Fire,132,132,45,59,52,60,69,65,63,Killer Blade,Killer Slide,About Face,Counter Strike
Olly Gammy,Recruitable,Connection Map,MF,Earth,191,108,51,68,50,44,48,69,66,Killer Slide,Breakthrough,Spider Web,Reflect Buster
Edward Albion,Recruitable,Scouting,GK,Earth,171,132,60,60,69,56,68,62,61,Fireball Knuckle,Tornado Catch,Toughness Block,Wood Chopper
Stu Born,Recruitable,Scouting,GK,Fire,114,102,60,56,40,48,46,56,52,Fireball Knuckle,Toughness Block,Rocket Kobushi,Counter Strike
Kevin Doors,Recruitable,Scouting,GK,Wind,173,164,70,66,68,71,62,63,63,Comet Shot,Killer Blade,Shot Pocket,Whirlwind
Hugh Dyer,Recruitable,Scouting,GK,Earth,77,136,48,56,61,52,70,71,60,Killer Blade,Teleport Shot,Mistral,Reflect Buster
Marv Errick,Recruitable,Scouting,GK,Fire,129,174,74,71,64,76,43,68,60,Toughness Block,The Wall,Mole Fake,Counter Strike
Alfie Fine,Recruitable,Scouting,GK,Wood,138,133,66,52,52,69,50,68,57,Pressure Punch,Shot Pocket,Spider Web,Full Power Shield
Randolf Finn,Recruitable,Scouting,GK,Earth,96,150,66,63,63,56,63,68,63,Fireball Knuckle,Toughness Block,Horn Train,Gigant Wall
Rex George,Recruitable,Scouting,GK,Wind,189,157,68,68,60,60,62,67,66,Tornado Catch,Quick Draw,Wood Chopper,Cyclone
Den Hidden,Recruitable,Scouting,GK,Earth,121,153,73,60,64,76,44,79,60,Sumo Stomp,Horn Train,Wood Chopper,Counter Strike
Trey Hugger,Recruitable,Scouting,GK,Fire,99,142,36,73,60,73,35,28,58,Power Shield,Horn Train,Wood Chopper,Divine Stamp
Will Noble,Recruitable,Scouting,GK,Wood,134,158,48,48,54,41,52,48,45,Toughness Block,Horn Train,Rocket Kobushi,Full Power Shield
Billy Nomates,Recruitable,Scouting,GK,Wood,132,160,76,64,64,77,40,76,65,Fireball Knuckle,Power Shield,Wild Claw,Blazing Knuckle
Sly O'Hands,Recruitable,Scouting,GK,Wind,158,176,56,72,79,79,45,61,69,Killer Blade,Doppelganger,Whirlwind,Blazing Knuckle
Ort Omaton,Recruitable,Scouting,GK,Fire,90,156,63,54,61,60,72,70,53,Dash Accelerator,Rocket Kobushi,Heat Tackle,Counter Strike
Jay Pan,Recruitable,Scouting,GK,Earth,143,115,64,79,48,52,36,52,77,Sumo Stomp,Earthquake,Gigant Wall,Rodeo Clown
Oscar Petty,Recruitable,Scouting,GK,Fire,129,156,76,71,63,70,44,78,82,Killer Blade,Quick Draw,Shot Pocket,Whirlwind
Sascha Powder,Recruitable,Scouting,GK,Fire,123,158,51,36,33,60,68,56,60,Pressure Punch,Rocket Kobushi,Spider Web,Mistral
Jen Quibble,Recruitable,Scouting,GK,Earth,94,144,56,67,40,70,62,67,58,Spinning Cut,Whirlwind,Bamboo Pattern,Counter Strike
Ace Server,Recruitable,Scouting,GK,Wind,151,168,76,69,63,78,56,77,68,Tornado Catch,Blade Attack,Wood Chopper,Counter Strike
Shaun Staid,Recruitable,Scouting,GK,Wind,101,154,43,61,53,61,79,77,56,Rodeo Clown,Magic,Rocket Kobushi,Illusion Ball
Griff Strummer,Recruitable,Scouting,GK,Wind,158,170,60,52,60,60,55,57,57,Tornado Catch,Coil Turn,Mistral,Hurricane Arrows
Nick Swagg,Recruitable,Scouting,GK,Fire,143,149,68,69,71,64,64,64,60,Tornado Catch,Doppelganger,Whirlwind,About Face
Tim Toppel,Recruitable,Scouting,GK,Wood,176,172,69,65,64,60,64,69,61,Pressure Punch,Shot Pocket,Wood Chopper,Whirlwind
Boe Tyer,Recruitable,Scouting,GK,Fire,151,149,49,59,65,51,53,63,62,Power Shield,Rodeo Clown,Dirt Ball,Full Power Shield
Julius Vernon,Recruitable,Scouting,GK,Earth,140,184,77,45,44,76,39,51,48,Wild Claw,Dash Accelerator,Wood Chopper,About Face
Rainier Welkin,Recruitable,Scouting,GK,Fire,147,154,48,60,68,76,56,61,52,Fireball Knuckle,Toughness Block,Rocket Kobushi,Counter Strike
Gerry Attrick,Recruitable,Scouting,DF,Earth,96,142,60,65,44,70,62,60,60,Quick Draw,Whirlwind Twister,Blade Attack,Shadow Stitch
Pascal Blaise,Recruitable,Scouting,DF,Wood,118,142,49,56,60,61,68,45,57,Magic,Spinning Cut,Defence Scan,Breakthrough
Scot Chopper,Recruitable,Scouting,DF,Wood,132,146,48,28,30,62,70,59,56,Spider Web,Bamboo Pattern,Dash Storm,Shine Drive
Dan Dandy,Recruitable,Scouting,DF,Wind,154,150,61,43,44,63,68,65,68,Coil Turn,Spinning Cut,Moonsault,Dash Storm
Beau Fort,Recruitable,Scouting,DF,Wind,145,137,48,48,45,60,68,52,54,Spinning Cut,Illusion Ball,Cyclone,Bewildered
Jack Frosty,Recruitable,Scouting,DF,Wind,178,166,65,70,64,65,67,60,68,Coil Turn,Magic,Spider Web,Hawk Shot
Shaun Imago,Recruitable,Scouting,DF,Wind,123,132,42,36,30,55,60,60,60,Coil Turn,Cross Drive,Illusion Ball,Clone Shot
Sirley Ladyman,Recruitable,Scouting,DF,Wood,167,150,51,31,30,53,68,60,62,Coil Turn,Whirlwind Twister,Cyclone,Whirlwind Cut
Doug Lee,Recruitable,Scouting,DF,Fire,112,158,44,36,30,55,70,62,57,Sumo Stomp,The Wall,Mole Fake,Divine Stamp
Scout Messenger,Recruitable,Scouting,DF,Wood,154,156,69,61,56,58,63,56,52,Coil Turn,Dash Accelerator,Whirlwind Cut,Cyclone
Sam Murray,Recruitable,Scouting,DF,Wind,107,142,67,54,52,69,35,68,59,Shadow Stitch,Poison Fog,Clone Faker,Clone Shot
Drew Reiner,Recruitable,Scouting,DF,Earth,165,168,66,71,70,66,62,68,63,Coil Turn,Blade Attack,Spider Web,Cross Drive
Reg Thrift,Recruitable,Scouting,DF,Earth,94,146,45,56,54,63,77,53,60,Coil Turn,Quick Draw,Spider Web,Illusion Ball
Dan Vega,Recruitable,Scouting,DF,Wood,167,154,66,64,62,60,64,62,68,Ghost Pull,Afterimage,Spider Web,Bamboo Pattern
Walter Walken,Recruitable,Scouting,DF,Wind,127,128,44,42,48,49,50,51,73,Coil Turn,Monkey Turn,About Face,Back Tornado
Des Ainer,Recruitable,Scouting,MF,Fire,160,158,71,60,61,63,34,60,59,Sumo Stomp,Earthquake,Bewildered,Dirt Ball
Bryce Bergman,Recruitable,Scouting,MF,Fire,165,140,45,61,59,60,64,69,60,Dash Accelerator,Breakthrough,Utter Gutsiness Bat,Emperor Penguin No.2
Tim Bergoods,Recruitable,Scouting,MF,Wind,198,134,51,52,62,52,78,39,62,Bewildered,Zigzag Spark,Poison Fog,Dash Storm
Holly Cricket,Recruitable,Scouting,MF,Fire,118,156,61,70,48,63,63,67,56,Breakthrough,Fake Ball,Poison Fog,Kung Fu Header
Grew Driver,Recruitable,Scouting,MF,Wind,165,172,67,64,64,64,68,64,64,Zigzag Spark,Cross Drive,Clone Faker,Twin Boost
Waite Forrit,Recruitable,Scouting,MF,Earth,165,140,61,55,59,58,59,68,59,Kung Fu Header,Whirlwind Twister,Clone Shot,Divine Stamp
Garland Gathers,Recruitable,Scouting,MF,Earth,118,124,56,44,52,44,52,61,46,Magic,Teleport Shot,Illusion Ball,Freeze Shot
Cameron Hameha,Recruitable,Scouting,MF,Wood,129,116,44,49,58,44,46,55,50,Rodeo Clown,Magic,Afterimage,Moonsault
Bert Neptune,Recruitable,Scouting,MF,Wood,178,178,64,70,64,64,62,61,61,Attack Scan,Defence Scan,Harvest,Freeze Shot
Ton Nino,Recruitable,Scouting,MF,Wind,151,150,66,60,63,56,55,71,63,Flurry Dash,Zigzag Spark,Blade Attack,Clone Shot
Phil Occifer,Recruitable,Scouting,MF,Wood,169,176,51,55,65,44,60,61,62,Magic,Black Magic,Ghost Pull,Psycho Shot
Vinny O'Gaines,Recruitable,Scouting,MF,Wood,158,133,46,61,64,52,52,52,55,Black Magic,Afterimage,Cyclone,Clone Shot
Bobby Peel,Recruitable,Scouting,MF,Earth,165,146,60,62,55,56,59,52,62,Bewildered,Blade Attack,Clone Faker,Rolling Hell
Biron Pendexter,Recruitable,Scouting,MF,Wood,112,192,62,68,53,71,63,60,59,Dash Accelerator,Zigzag Spark,Clone Faker,Dash Storm
Harry Redcastle,Recruitable,Scouting,MF,Wind,121,178,63,60,53,69,52,56,60,Flurry Dash,Zigzag Spark,Wrath Shot,Back Tornado
Ollie Seeker,Recruitable,Scouting,MF,Earth,112,133,71,60,52,58,52,63,62,Sumo Stomp,Mole Fake,The Wall,Dirt Ball
Gabriel Shekinah,Recruitable,Scouting,MF,Wind,79,132,62,58,82,60,52,64,56,Whirlwind Twister,Spiral Shot,Whirlwind Cut,Cross Drive
Rupert Spiers,Recruitable,Scouting,MF,Wind,127,152,55,64,70,70,74,68,63,Flurry Dash,Breakthrough,Utter Gutsiness Bat,Dash Storm
Daley Switcher,Recruitable,Scouting,MF,Earth,132,176,61,66,63,63,59,60,56,Bewildered,Spinning Cut,Spinning Shot,Dash Storm
Kay Acker,Recruitable,Scouting,FW,Wind,182,144,58,71,48,60,62,74,60,Phantom Shot,Tiro ripetuto,Clone Faker,Back Tornado
Dave Altair,Recruitable,Scouting,FW,Wind,213,136,61,63,57,58,53,69,60,Dash Accelerator,Spiral Shot,Patriot Shot,Shine Drive
Manny Atom,Recruitable,Scouting,FW,Fire,213,148,67,59,54,68,64,61,54,Dash Accelerator,Wrath Shot,Run Ball Run,Zigzag Spark
Gene Bottle,Recruitable,Scouting,FW,Wind,83,138,62,60,40,68,52,69,52,Doppelganger,Spinning Shot,Afterimage,Divine Arrows
Ashley Dale,Recruitable,Scouting,FW,Wood,187,160,55,60,78,61,70,61,68,Rolling Kick,Phantom Shot,Afterimage,Utter Gutsiness Bat
Ike Doerflinger,Recruitable,Scouting,FW,Wood,138,152,53,60,58,61,52,56,52,Spinning Shot,Utter Gutsiness Bat,About Face,Boost Glider
Ben Evolent,Recruitable,Scouting,FW,Wind,169,154,68,52,60,60,52,59,52,Snake Shot,Phantom Shot,Meteor Attack,Run Ball Run
Ashley Fay,Recruitable,Scouting,FW,Wind,123,100,62,56,40,51,40,57,52,Snake Shot,Wrath Shot,Illusion Ball,Back Tornado
Mo Hawkes,Recruitable,Scouting,FW,Fire,140,141,60,69,47,63,60,62,60,Sumo Stomp,Mole Fake,Earthquake,Dirt Ball
Eggbert Heading,Recruitable,Scouting,FW,Wood,217,140,68,53,58,71,38,76,62,Attack Scan,Defence Scan,Rolling Kick,Psycho Shot
Larry Helps,Recruitable,Scouting,FW,Wood,77,158,46,54,57,59,60,54,55,Phantom Shot,Zigzag Spark,Clone Shot,Death Zone
Monty Hillary,Recruitable,Scouting,FW,Earth,88,146,42,56,59,63,65,64,52,Phantom Shot,Attack Scan,Defence Scan,Twin Boost
Jimmy Mach,Recruitable,Scouting,FW,Wind,158,149,52,61,60,58,79,76,50,Grenade Shot,Afterimage,Cyclone,Back Tornado
Pat Maclean,Recruitable,Scouting,FW,Wind,167,168,63,64,62,69,60,60,68,Rolling Kick,Dynamite Shot,Bewildered,Freeze Shot
Bill Moony,Recruitable,Scouting,FW,Earth,103,152,79,53,56,60,64,61,52,Toughness Block,Freeze Shot,Illusion Ball,Bamboo Pattern
Will Racer,Recruitable,Scouting,FW,Wood,171,158,56,61,56,60,60,54,60,Snake Shot,Tarzan Kick,Dirt Ball,Reflect Buster
Char Shumaker,Recruitable,Scouting,FW,Earth,171,132,60,60,59,57,57,59,55,Dynamite Shot,Bewildered,Dirt Ball,Mole Fake
Scott Springer,Recruitable,Scouting,FW,Wind,96,134,78,59,63,53,52,60,54,Phantom Shot,Dynamite Shot,Clone Shot,Rolling Hell
Derek Terr,Recruitable,Scouting,FW,Fire,110,138,50,32,31,61,77,58,59,Doppelganger,Phantom Shot,Psycho Shot,Blade Attack
George Winters,Recruitable,Scouting,FW,Wood,140,180,44,72,76,68,79,70,73,Rodeo Clown,Utter Gutsiness Bat,Clone Faker,Clone Shot
Evan Yielding,Recruitable,Scouting,FW,Wood,160,160,53,46,50,60,76,65,64,Psycho Shot,Illusion Ball,Twin Boost,Death Zone
Darrel Jeeling,Recruitable,Scouting,GK,Wood,173,150,47,60,68,46,58,59,53,Grenade Shot,Shine Drive,Shot Pocket,Full Power Shield
Paul Peabody,Recruitable,Scouting,DF,Wind,217,192,65,76,62,69,64,73,74,Rodeo Clown,About Face,God Hand,Majin The Hand
Miles Ryan,Recruitable,Scouting,DF,Wind,171,174,59,48,46,69,76,64,65,Flurry Dash,Zigzag Spark,Whirlwind Cut,Cyclone
Duncan Jump,Recruitable,Scouting,DF,Fire,209,120,40,48,48,40,43,76,48,Dash Accelerator,Horn Train,Heat Tackle,Dash Storm
Saul Dowd,Recruitable,Scouting,DF,Earth,171,174,52,56,58,54,61,53,63,Sumo Stomp,Ghost Pull,Poison Fog,Earthquake
Chester Horse Jr.,Recruitable,Scouting,MF,Wood,158,129,55,72,71,58,63,59,59,Bewildered,Monkey Turn,Utter Gutsiness Bat,Clone Faker
Nathin Gaunt,Recruitable,Scouting,MF,Earth,74,140,40,56,52,61,76,52,61,Bewildered,Monkey Turn,Spider Web,Moonsault
Rory Boomer,Recruitable,Scouting,MF,Earth,171,156,71,62,57,56,60,65,79,Killer Slide,Heat Tackle,About Face,Reflect Buster
Erik Eagle,Recruitable,Scouting,MF,Wood,154,197,79,60,76,64,63,53,71,Spinning Shot,Spinning Cut,Illusion Ball,The Phoenix
Cash Barganier,Recruitable,Scouting,FW,Fire,167,156,43,35,38,52,76,37,61,Comet Shot,Dynamite Shot,Patriot Shot,Shine Drive
Saggy,Recruitable,Scouting,FW,Wood,195,165,77,71,60,70,64,70,67,Dash Accelerator,Attack Scan,Patriot Shot,Reflect Buster
Shadow Cimmerian,Recruitable,Scouting,FW,Wood,193,176,60,74,68,73,63,60,64,Shadow Stitch,Dark Tornado,Doppelganger,Death Zone
